episode,firstname,surname,gender,year,month,day,location,hours,minutes,has_ab,ab_questions,ab_minutes,has_singing,songs
1,Robert,Habeck,male,2018,4,23,live,2,37,,,,,
2,Nina,Hoss,female,2018,4,23,studio,1,36,,,,,
3,Katarina,Barley,female,2018,6,1,studio,3,27,,,,,
4,Tim,Raue,male,2018,6,29,studio,2,54,,,,,
5,Sophie,Passmann,female,2018,8,10,studio,4,6,,,,,
6,Rubin,Ritter,male,2018,9,11,studio,3,34,,,,,
7,Christian,Lindner,male,2018,10,18,studio,3,18,,,,,
8,Herbert,Grönemeyer,male,2018,12,4,studio,5,14,,,,,
9,Jana,Hensel,female,2019,2,14,studio,6,8,,,,,
10,Dorothee,Bär,female,2019,2,28,studio,5,10,,,,,
11,Uli,Wickert,male,2019,3,8,studio,0,12,,,,,
12,Marco,Börries,male,2019,3,29,studio,6,2,,,,,
13,Julia,Stoschek,female,2019,4,25,studio,3,39,,,,,
14,Uli,Wickert,male,2019,5,24,live,4,47,,,,,
15,Jutta,Allmendinger,female,2019,6,21,studio,5,1,,,,,
16,Bas,Kast,male,2019,8,12,live,4,18,,,,,
17,Rezo,,male,2019,10,11,studio,8,40,,,,,
18,Carolin,Emcke,female,2019,10,31,studio,5,14,,,,,
19,Lena,Meyer-Landrut,female,2019,11,28,studio,5,56,,,,,
20,Ian,McEvan,male,2019,20,12,studio,2,10,,,,,
21,Eva,Schulz,female,2020,1,9,studio,3,43,,,,,
22,Thomas,Hitzlsperger,male,2020,2,7,studio,4,37,,,,,
23,Marc-Uwe,Kling,male,2020,3,5,studio,4,1,,,,,
24,Igor,Levit,male,2020,4,2,remote,5,27,,,,,
25,Heiko,Maas,male,2020,4,21,remote,3,26,,,,,
26,Luisa,Neubauer,female,2020,4,24,remote,8,28,,,,,
27,Dunja,Hayali,female,2020,5,15,remote,7,27,,,,,
28,Alice,Hasters,female,2020,6,3,remote,6,36,,,,,
29,Thomas,de Maizère,male,2020,7,2,remote,5,14,,,,,
30,Mai Thi,Nguyen-Kim,female,2020,7,23,remote,3,58,,,,,
31,Juli,Zeh,female,2020,8,21,remote,8,7,,,,,
32,Ólafur,Elíasson,male,2020,9,17,remote,4,27,,,,,
33,Alice,Schwarzer,female,2020,10,8,remote,5,14,,,,,
34,Yuval,Harari,male,2020,10,22,remote,3,43,,,,,
35,Richard,Socher,male,2020,11,26,remote,8,17,,,,,
36,Ai,Weiwei,male,2020,12,17,remote,5,9,,,,,
37,Paul,Auster,male,2021,2,11,remote,2,30,,,,,
38,Maja,Göpel,female,2021,3,25,remote,3,29,,,,,
39,Deborah,Feldman,female,2021,4,16,remote,4,1,,,,,
40,Julia,von Heinz,female,2021,5,6,remote,4,51,,,,,
41,Annalena,Baerbock,female,2921,5,17,remote,2,56,,,,,
42,Sabine,Rückert,female,2021,7,15,live,7,31,,,,,
43,Günther,Jauch,male,2021,9,15,studio,6,26,,,,,
44,Nora,Tschirner,female,2021,9,23,live,3,52,,,,,
45,Sven,Regener,male,2021,10,28,studio,2,19,,,,,
46,Thea,Dorn,female,2021,12,9,studio,7,31,,,,,
47,Aline,Abboud,female,2022,1,10,studio,5,33,,,,,
48,Maxim,Biller,male,2022,2,10,studio,5,43,,,,,
49,Kevin,Kühnert,male,2022,3,18,studio,7,55,,,,,
